lon,lat,Y,lambda_est,sigma_ou_sq_est,sigma_i_sq
-80.0000000000,32.0999984741,0.0000002536,0.3077095748,0.0950475410,0.1545435870
-80.0000000000,51.7000007629,-0.0000003880,1.2340119965,0.1136862114,0.0461636573
-80.0000000000,51.7999992371,0.0000000377,1.2244926285,0.1128190309,0.0461676644
-80.0000000000,51.9000015259,0.0000007342,1.1101540048,0.1108659655,0.0500326963
-80.0000000000,52.0000000000,-0.0000002786,1.0490838297,0.1103939563,0.0527144590
-80.0000000000,52.0999984741,-0.0000001227,1.0339053253,0.1107058376,0.0536377055
-80.0000000000,52.2000007629,-0.0000003570,0.9826869686,0.1104699522,0.0563081089
-80.0000000000,52.2999992371,-0.0000002281,1.0474229657,0.1138214171,0.0544340278
-80.0000000000,52.4000015259,0.0000003590,1.3441081298,0.1234587207,0.0460258887
-80.0000000000,52.5000000000,-0.0000000710,1.7838173624,0.1347747147,0.0378770498
-80.0000000000,52.5999984741,-0.0000000393,2.0503680022,0.1404726207,0.0343554655
-80.0000000000,52.7000007629,-0.0000004288,1.8615143593,0.1378345340,0.0371221517
-80.0000000000,52.7999992371,-0.0000003849,1.6773447262,0.1348251402,0.0402900510
-80.0000000000,52.9000015259,-0.0000003206,1.5102508217,0.1331328452,0.0441764022
-80.0000000000,53.0000000000,-0.0000004451,1.3613976001,0.1341864616,0.0493826128
-80.0000000000,53.0999984741,0.0000005568,1.2317329001,0.1359429806,0.0552836281
-80.0000000000,53.2000007629,-0.0000005003,1.1949330745,0.1394867152,0.0584659111
-80.0000000000,53.2999992371,0.0000001449,1.2907896149,0.1450033486,0.0562684673
-80.0000000000,53.4000015259,-0.0000001647,1.3934537079,0.1506517828,0.0541569744
-80.0000000000,53.5000000000,0.0000002889,1.4889537806,0.1544497162,0.0519651815
-80.0000000000,53.5999984741,-0.0000001527,1.5681819124,0.1553363949,0.0496275432
-80.0000000000,53.7000007629,0.0000003643,1.6494736120,0.1563316882,0.0474883568
-80.0000000000,53.7999992371,-0.0000001746,1.7287351145,0.1566585153,0.0454101560
-80.0000000000,53.9000015259,-0.0000003384,1.8024530137,0.1560811251,0.0433968638
-80.0000000000,54.0000000000,-0.0000007041,1.8697079863,0.1556204706,0.0417162502
-80.0000000000,54.0999984741,0.0000005313,1.9137807534,0.1550437808,0.0406071951
-80.0000000000,54.2000007629,-0.0000005193,1.9296235326,0.1542503685,0.0400690317
-80.0000000000,54.2999992371,-0.0000000893,1.9293064622,0.1534388810,0.0398652950
-80.0000000000,54.4000015259,0.0000003554,1.9115467723,0.1517797112,0.0398007579
-80.0000000000,54.5000000000,-0.0000001795,1.8760175623,0.1494057029,0.0399199105
-80.0000000000,54.5999984741,-0.0000004344,1.8253750841,0.1470068246,0.0403675663
-80.0000000000,54.7000007629,0.0000000563,1.7639508218,0.1425528675,0.0405072681
-80.0000000000,54.7999992371,0.0000000585,1.6824676531,0.1370448470,0.0408273349
-80.0000000000,54.9000015259,0.0000001652,1.5849313434,0.1316933930,0.0416454567
-80.0000000000,55.0000000000,0.0000005059,1.5747027439,0.1291663945,0.0411129451
-80.0000000000,55.0999984741,-0.0000000170,1.5826436970,0.1274853647,0.0403760789
-80.0000000000,55.2000007629,0.0000002572,1.5771304479,0.1258100420,0.0399857438
-80.0000000000,55.2999992371,0.0000003250,1.5721124934,0.1228528097,0.0391725251
-80.0000000000,55.4000015259,-0.0000007465,1.5528346386,0.1197204664,0.0386490069
-80.0000000000,56.4000015259,-0.0000005230,0.8736905901,0.0635233745,0.0364534730
-80.0000000000,56.5000000000,0.0000001879,0.8848108340,0.0610127971,0.0345778764
-80.0000000000,56.5999984741,0.0000003999,0.8907840509,0.0589288957,0.0331769818
-80.0000000000,56.7000007629,-0.0000002290,0.9064122420,0.0606961288,0.0335815253
-80.0000000000,56.7999992371,0.0000002324,0.9145426661,0.0629155412,0.0344972696
-80.0000000000,56.9000015259,0.0000003820,0.9121242243,0.0645028949,0.0354586130
-80.0000000000,57.0000000000,0.0000003438,0.8922878603,0.0623878203,0.0350594694
-80.0000000000,57.0999984741,-0.0000004861,0.8610585232,0.0601339415,0.0350186146
-80.0000000000,57.2000007629,0.0000002007,0.8221491486,0.0569812544,0.0347538426
-80.0000000000,57.2999992371,-0.0000001935,0.7802032145,0.0528100096,0.0339437529
-80.0000000000,57.4000015259,-0.0000000933,0.7357439194,0.0488223210,0.0332788817
-80.0000000000,57.5000000000,-0.0000003264,0.6978610793,0.0454903729,0.0326927138
-80.0000000000,57.5999984741,0.0000007369,0.6632585743,0.0425634161,0.0321865932
-80.0000000000,57.7000007629,-0.0000003695,0.6299150155,0.0399090350,0.0317781105
-80.0000000000,57.7999992371,-0.0000005429,0.6059969159,0.0380935706,0.0315304988
-80.0000000000,57.9000015259,-0.0000003014,0.5832807205,0.0364868045,0.0313772248
-80.0000000000,58.0000000000,-0.0000002235,0.5640580498,0.0352487266,0.0313456551
-80.0000000000,58.0999984741,0.0000001322,0.5497539999,0.0344718359,0.0314520556
-80.0000000000,58.2000007629,-0.0000001893,0.5368489168,0.0338809155,0.0316553542
-80.0000000000,58.2999992371,0.0000002319,0.5255707664,0.0336335115,0.0320971293
-80.0000000000,58.4000015259,-0.0000001989,0.5150886819,0.0335487761,0.0326660194
-80.0000000000,58.5000000000,0.0000003456,0.5074561251,0.0336867198,0.0332917561
-80.0000000000,58.5999984741,-0.0000000350,0.5177776792,0.0349660330,0.0338654889
-80.0000000000,58.7000007629,-0.0000001524,0.5287802429,0.0364108197,0.0345290660
-80.0000000000,58.7999992371,0.0000003186,0.5424623498,0.0380682759,0.0351884038
-80.0000000000,58.9000015259,0.0000004762,0.5582181761,0.0399330482,0.0358683160
-80.0000000000,59.0000000000,-0.0000002677,0.5737586414,0.0419594534,0.0366654217
-80.0000000000,59.0999984741,-0.0000003000,0.5919770511,0.0444612317,0.0376531717
-80.0000000000,59.2000007629,0.0000004041,0.6115530564,0.0473097824,0.0387800310
-80.0000000000,59.2999992371,-0.0000000071,0.6324911515,0.0501530282,0.0397472173
-80.0000000000,59.4000015259,0.0000005684,0.6545540658,0.0527552515,0.0403986203
-80.0000000000,59.5000000000,0.0000002382,0.6766227475,0.0557278432,0.0412808821
